"m3","y30","y1","m6","y2","y10","y3","time","y5","y7"
"1","NaN","1.187391","1.009130","1.577826","3.826522","2.000000","2004-03-31","2.786957","3.306087"
"1","NaN","1.433810","1.109048","2.070952","4.347619","2.568095","2004-04-30","3.389524","3.892381"
"1","NaN","1.777500","1.333500","2.533500","4.715500","3.0975","2004-05-31","3.850500","4.313000"
"1","NaN","2.115238","1.635238","2.763333","4.733810","3.256190","2004-06-30","3.929048","4.352381"
"1","NaN","2.095238","1.696190","2.638571","4.498095","3.046190","2004-07-31","3.688571","4.111905"
"2","NaN","2.015909","1.760000","2.508182","4.281364","2.884545","2004-08-31","3.474545","3.904091"
"2","NaN","2.116667","1.910476","2.525238","4.125714","2.829524","2004-09-30","3.355238","3.751429"
"2","NaN","2.228000","2.0515","2.5845","4.097000","2.8535","2004-10-31","3.347500","3.7480"
"2","NaN","2.500000","2.324500","2.852000","4.194000","3.0935","2004-11-30","3.5250","3.882000"
"2","NaN","2.670455","2.496818","3.011818","4.230909","3.214091","2004-12-31","3.598182","3.927727"
"2","NaN","2.8605","2.6755","3.222500","4.221500","3.390000","2005-01-31","3.707000","3.9735"
"3","NaN","3.029474","2.845789","3.384737","4.165263","3.535263","2005-02-28","3.766316","3.965789"
"3","NaN","3.302273","3.086818","3.726818","4.497727","3.913182","2005-03-31","4.165455","4.327727"
"3","NaN","3.316667","3.144286","3.653810","4.340952","3.789524","2005-04-30","3.998571","4.158095"
"3","NaN","3.330952","3.170952","3.643810","4.144286","3.724762","2005-05-31","3.852857","3.941429"
"3","NaN","3.363182","3.221818","3.640455","3.998182","3.685000","2005-06-30","3.772273","3.860455"
"3","NaN","3.641000","3.5265","3.871000","4.1775","3.914000","2005-07-31","3.979000","4.0580"
"4","NaN","3.872174","3.784783","4.044348","4.262609","4.078696","2005-08-31","4.122174","4.177826"
"3","NaN","3.845238","3.793810","3.946190","4.199048","3.962857","2005-09-30","4.006190","4.080476"
"4","NaN","4.1755","4.125000","4.2710","4.463500","4.2905","2005-10-31","4.3285","4.3820"
"4","NaN","4.334000","4.2950","4.4165","4.535000","4.433500","2005-11-30","4.4525","4.482000"
"4","NaN","4.352857","4.327619","4.404286","4.467143","4.391905","2005-12-31","4.392381","4.413810"
"4","NaN","4.4450","4.469500","4.395500","4.4160","4.3515","2006-01-31","4.345500","4.365000"
"5","4.536923","4.684737","4.691579","4.668421","4.568947","4.637368","2006-02-28","4.572105","4.564211"
"5","4.734348","4.773478","4.792174","4.733913","4.723913","4.738261","2006-03-31","4.716087","4.713913"
"5","5.062632","4.897368","4.900000","4.888947","4.990526","4.885263","2006-04-30","4.902105","4.935263"
"5","5.201364","4.995000","5.0100","4.968182","5.1100","4.974545","2006-05-31","4.997727","5.032273"
"5","5.154091","5.155000","5.172727","5.121818","5.106364","5.088182","2006-06-30","5.067273","5.075455"
"5","5.134500","5.217500","5.266500","5.118500","5.0875","5.0700","2006-07-31","5.040000","5.0485"
"5","4.996087","5.082609","5.172609","4.903478","4.876522","4.846087","2006-08-31","4.822174","4.828696"
"5","4.852000","4.9745","5.0785","4.769000","4.7190","4.6925","2006-09-30","4.667500","4.6760"
"5","4.854762","5.010000","5.119048","4.795714","4.729048","4.721905","2006-10-31","4.686667","4.6900"
"5","4.685714","5.010952","5.147143","4.740476","4.595238","4.642857","2006-11-30","4.582381","4.581905"
"5","4.682500","4.9415","5.0720","4.673500","4.5645","4.578000","2006-12-31","4.533000","4.5355"
"5","4.851905","5.057143","5.148571","4.876190","4.759524","4.794286","2007-01-31","4.752857","4.752381"
"5","4.821579","5.053684","5.157895","4.848947","4.722632","4.753684","2007-02-28","4.710526","4.711053"
"5","4.721818","4.920455","5.096818","4.573636","4.564545","4.506364","2007-03-31","4.480909","4.498636"
"5","4.866190","4.932381","5.067619","4.666190","4.693810","4.601429","2007-04-30","4.593333","4.616667"
"5","4.901364","4.909091","4.978636","4.766364","4.746364","4.693636","2007-05-31","4.667273","4.685455"
"5","5.203333","4.962381","4.954762","4.980476","5.102857","4.999048","2007-06-30","5.026190","5.053810"
"5","5.108095","4.964286","5.035238","4.819048","5.004286","4.823810","2007-07-31","4.884762","4.932857"
"4","4.932174","4.472174","4.553043","4.313043","4.674783","4.338696","2007-08-31","4.432174","4.526957"
